language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,currency,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,averageAnalystRating,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,dividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,regularMarketChangePercent,exchange,fiftyTwoWeekLow,fiftyTwoWeekHigh,shortName,displayName,symbol,ipoExpectedDate,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,11.022447,19.240717481028437,USD,19.497824,11987800,36.401,157.1234,22.0616,0.14040938,126.05545,53.129547,0.4214776,2148033792,19.30873,4.922529,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,True,322151400000,2,45.934998,1722434117,179.185,181.97,162.01 - 181.97,162.01,577977,133.25,128.0,207.52,2,2,us_market,finmb_297711,NasdaqGS,"Powell Industries, Inc.",USD,169.01,373177,449590,106.674995,1.4711763,72.51 - 209.14,-29.955002,-0.14322942,55.77507,1718150400.0,1722369600.0,1722369600.0,1722369600.0,1722438000.0,1722438000.0,False,0.263,21.255634,1.06,0.0019737338,0.8,REGULAR,8.43,9.28,9.19,34.472797,NMS,72.51,209.14,"Powell Industries, Inc.",Powell Industries,POWL,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,27.1123,-1.0823098055370053,USD,15.743804,347460000,9.119,87.8526,-8.818703,-0.10038067,59.77725,19.256649,0.3221401,28352620544,12.686019,8.666947,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,True,1475674200000,2,10.033897,1722434124,79.0339,82.83,77.94 - 82.83,77.94,4296743,69.0,0.0,0.0,9,8,us_market,finmb_7959935,NYSE,Vistra Corp.,USD,82.44,8896751,7341410,51.491898,1.8695773,27.542 - 107.24,-28.2061,-0.26301846,146.5166,1719532800.0,1723120200.0,1723120200.0,1723120200.0,1723125600.0,1723125600.0,False,0.838,48.487053,0.87,0.012144928,1.26,REGULAR,1.63,6.23,5.02,14.541881,NYQ,27.542,107.24,Vistra Corp.,,VST,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,26.806583,-4.337519813192856,USD,29.045,106246000,20.239,77.8226,9.312401,0.119661905,72.01035,15.124649,0.21003437,9318914048,25.329943,4.3053017,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,True,1557322200000,2,9.955002,1722434103,87.135,89.51,83.63 - 89.51,83.63,612373,77.18,0.0,0.0,18,11,us_market,finmb_199424,NYSE,Parsons Corporation,USD,83.63,855666,770680,36.657,0.7261976,50.478 - 89.51,-2.375,-0.026533348,41.82286,,1722429000.0,1722429000.0,1722429000.0,1722427200.0,1722427200.0,False,0.0,484.0833,,0.0,,REGULAR,0.18,3.44,3.0,12.898421,NYQ,50.478,89.51,Parsons Corporation,Parsons,PSN,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,610.893105,,USD,159.01282,50841200,46.143,116.9873,7.0427017,0.06020057,83.77214,40.25786,0.4805638,6305833984,31.0075,2.6879482,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,True,1685712600000,2,13.169998,1722434121,124.03,130.95,122.89 - 130.95,122.89,739760,110.86,122.93,124.6,1,1,us_market,finmb_276190901,NasdaqGS,Talen Energy Corporation,USD,130.0,715761,1026220,73.53,1.4560395,50.5 - 135.55,-11.520004,-0.08498712,107.700226,,,,,,,,0.0,,,0.0,,REGULAR,,4.0,0.78,11.879847,NMS,50.5,135.55,Talen Energy Corporation,Talen Energy,TLN,2024-07-10,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,69.814466,-1.0184263653958712,USD,36.694443,157900000,15.407,52.4752,6.969799,0.13282081,62.9481,-3.5031013,-0.05565063,9386365952,29.574627,3.8583112,15,0,America/New_York,EDT,-14400000,False,False,False,2.3 - Buy,True,1524749400000,2,5.7649994,1722434123,59.445,59.99,55.24 - 59.99,55.24,670067,53.68,0.0,0.0,8,10,us_market,finmb_246737890,NYSE,Dayforce Inc,USD,56.14,1939064,2101760,12.364998,0.262638,47.08 - 75.53,-16.085,-0.21296173,-19.880598,,1722429000.0,1722429000.0,1722429000.0,1722427200.0,1722427200.0,False,0.0,180.13635,,0.0,,REGULAR,0.33,2.01,1.62,10.724583,NYQ,47.08,75.53,"Dayforce, Inc.",Dayforce,DAY,,Ceridian HCM Holding Inc.,2024-07-29
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,13.112329,-2.2782126920982497,USD,17.667454,265668000,-0.493,31.4089,6.0461025,0.19249648,33.50845,3.9465523,0.117777824,9950595072,15.477273,-75.97363,15,0,America/New_York,EDT,-14400000,False,False,False,2.2 - Buy,True,727453800000,2,3.7650032,1722434124,37.455,38.07,36.13 - 38.07,36.13,2771378,33.69,34.39,38.08,2,10,us_market,finmb_355279,NasdaqGS,"Match Group, Inc.",USD,37.8,5667420,5546640,9.800001,0.35436633,27.655 - 49.24,-11.785,-0.23933792,-26.360655,1545177600.0,1722369600.0,1730232000.0,1730750400.0,1722429000.0,1722429000.0,True,0.0,16.427633,,0.0,,REGULAR,2.28,2.42,2.12,11.175432,NMS,27.655,49.24,"Match Group, Inc.",Match,MTCH,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,60.22692,42.496193619614324,USD,39.89231,45143300,9.826,114.2742,-10.554199,-0.092358544,83.38675,20.333252,0.24384272,4682263040,33.350483,10.555669,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,964791000000,2,9.660004,1722434122,103.72,103.75,99.5 - 103.75,99.5,180712,94.06,102.87,103.99,2,2,us_market,finmb_527153,NasdaqGM,Camtek Ltd.,USD,99.5,608809,1041030,59.64,1.3529944,44.08 - 140.5,-36.78,-0.26177934,105.77554,1713398400.0,1722515400.0,1722515400.0,1722515400.0,1722517200.0,1722517200.0,False,0.0,58.269665,1.33,0.0,1.41,REGULAR,1.78,3.11,2.6,10.270044,NGM,44.08,140.5,Camtek Ltd.,Camtek,CAMT,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,368.945138,588.9226633122986,USD,43.80229,1616310016,34.943,162.2724,-9.402405,-0.057942107,153.8899,-1.0198975,-0.0066274493,247085301760,27.744099,4.374839,15,0,America/New_York,EDT,-14400000,False,False,False,1.9 - Buy,True,322151400000,2,14.429993,1722434127,152.87,153.5,147.5 - 153.5,147.5,20178475,138.44,152.59,152.77,2,1,us_market,finmb_168864,NasdaqGS,"Advanced Micro Devices, Inc.",USD,150.73,51734209,54446360,59.749992,0.6416451,93.12 - 227.3,-74.43001,-0.32745275,26.60265,,1722370548.0,1730199540.0,1730721600.0,1722373200.0,1722373200.0,True,0.0,181.9881,,0.0,,REGULAR,0.84,5.51,3.49,10.423283,NMS,93.12,227.3,"Advanced Micro Devices, Inc.",Advanced Micro Devices,AMD,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,57.019363,174.68324813303514,USD,42.156837,24598300672,1.998,119.3795,-4.7128983,-0.039478287,79.57382,35.09278,0.4410091,2820603641856,30.65952,57.39069,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,True,917015400000,2,10.9366,1722434127,114.6666,114.67,110.88 - 114.67,110.88,93035665,103.73,114.64,114.68,1,1,us_market,finmb_32307,NasdaqGS,NVIDIA Corporation,USD,112.9,371219280,316931870,75.4366,1.9229314,39.23 - 140.76,-26.093391,-0.18537505,134.31747,1719532800.0,1724875200.0,1724875200.0,1724875200.0,1716411600.0,1716411600.0,False,0.016,67.05649,0.04,0.0001542466,0.04,REGULAR,1.71,3.74,2.72,10.543332,NMS,39.23,140.76,NVIDIA Corporation,NVIDIA,NVDA,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,23.202154,-9.930026997908397,USD,28.999998,52394700,14.774,101.039,6.550995,0.0648363,78.546,29.043999,0.3697706,5637145600,24.507973,7.2823877,15,0,America/New_York,EDT,-14400000,False,False,False,1.7 - Buy,True,401376600000,2,8.669998,1722434118,107.59,109.57,102.44 - 109.57,102.44,225824,98.92,0.0,0.0,12,8,us_market,finmb_288838,NYSE,Modine Manufacturing Company,USD,103.0,879309,903070,70.25,1.8813604,37.34 - 120.11,-12.520004,-0.10423782,159.08852,,1722369600.0,1730285940.0,1730721600.0,1722438000.0,1722438000.0,True,0.0,35.50825,,0.0,,REGULAR,3.03,4.39,3.71,8.764657,NYQ,37.34,120.11,Modine Manufacturing Company,,MOD,,,
