language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,currency,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,regularMarketChangePercent,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,averageAnalystRating,exchange,fiftyTwoWeekLow,fiftyTwoWeekHigh,shortName,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,displayName,symbol,trailingPE,dividendRate,dividendYield,ipoExpectedDate,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,7.747018,-0.32798589249916305,USD,0.9300003,1722437772,12.55,12.67,11.41 - 12.67,11.41,1832772,11.62,0.0,0.0,13,13,us_market,finmb_32583,NYSE,"O-I Glass, Inc.",USD,11.41,1877011,1633540,2.4700003,0.24503972,10.08 - 21.97,-9.419999,-0.42876646,-41.9,1584316800.0,1722370800,1730199540,1730721600,1722427200.0,1722427200.0,True,0.0,0.0,REGULAR,-1.54,2.19,8.003445,1.69,7.4260354,155722000,10.504,11.6362,0.91380024,0.07853081,14.4636,-1.9136,-0.13230453,1954311168,5.7305937,1.194783,15,0,America/New_York,EDT,-14400000,False,False,False,2.4 - Buy,NYQ,10.08,21.97,"O-I Glass, Inc.",True,692461800000,2,O-I Glass,OI,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,13.762842,-0.5047411978387245,USD,1.4099998,1722437780,13.18,13.25,12.6 - 13.25,12.6,791685,11.77,0.0,0.0,13,10,us_market,finmb_174336,NYSE,Dana Incorporated,USD,12.71,1159237,1205890,2.08,0.18738738,11.1 - 18.93,-5.75,-0.30375066,-36.30952,1724976000.0,1722429000,1722429000,1722429000,1722430800.0,1722430800.0,False,0.4,0.033984706,REGULAR,0.09,1.6,11.979608,1.0,13.18,144963008,10.617,12.6914,0.48860073,0.03849857,12.92755,0.25245,0.019528061,1925229056,8.2375,1.2414054,15,0,America/New_York,EDT,-14400000,False,False,False,2.9 - Hold,NYQ,11.1,18.93,Dana Incorporated,True,1199284200000,2,,DAN,146.44444,0.4,3.4,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,5.817738,-3.441261990832496,USD,0.64500046,1722437759,9.555,9.74,9.14 - 9.74,9.14,889401,8.91,0.0,0.0,18,32,us_market,finmb_337454005,NYSE,ProPetro Holding Corp.,USD,9.15,1563993,1296930,2.5650005,0.36695287,6.99 - 11.37,-1.8149996,-0.15963057,-5.8139563,,1722432600,1722432600,1722432600,1722430800.0,1722430800.0,False,0.0,0.0,REGULAR,0.69,0.67,7.2390623,0.48,19.906252,107039000,9.338,8.8082,0.7468004,0.08478468,8.6607,0.89430046,0.10325961,1022757696,14.261194,1.0232384,15,0,America/New_York,EDT,-14400000,False,False,False,2.3 - Buy,NYQ,6.99,11.37,ProPetro Holding Corp.,True,1489757400000,2,ProPetro Holding,PUMP,13.847827,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,14.085786,-0.05356609476816545,USD,0.26500034,1722437780,5.425,5.48,5.09 - 5.48,5.09,1217403,5.16,0.0,0.0,29,18,us_market,finmb_26782,NYSE,"Community Health Systems, Inc.",USD,5.19,1690848,2800820,3.4150002,1.6990051,2.01 - 5.48,-0.05499983,-0.010036465,24.637676,1356652800.0,1721852100,1729681140,1730116800,1721919600.0,1721919600.0,True,0.0,0.0,REGULAR,-0.76,0.26,5.135666,-0.41,-13.231708,138944000,-10.886,3.712,1.7130003,0.4614764,3.2401,2.1849003,0.6743311,753771200,20.865387,-0.49834654,15,0,America/New_York,EDT,-14400000,False,False,False,2.3 - Buy,NYQ,2.01,5.48,"Community Health Systems, Inc.",True,960557400000,2,Community Health Systems,CYH,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,8.294579,-0.19943165714053904,USD,1.2600002,1722437780,12.45,12.79,11.6 - 12.79,11.6,2054633,11.19,0.0,0.0,13,12,us_market,finmb_34600869,NYSE,LendingClub Corporation,USD,11.65,1355798,1682420,7.72,1.6321353,4.73 - 12.79,-0.34000015,-0.02658328,44.76067,1562544000.0,1722369965,1729681140,1730116800,1722373200.0,1722373200.0,True,0.0,0.0,REGULAR,0.34,0.74,11.2600565,0.29,42.931034,111120000,11.562,9.0918,3.3582,0.3693658,8.02815,4.42185,0.5507932,1383443968,16.824324,1.0768033,15,0,America/New_York,EDT,-14400000,False,False,False,1.8 - Buy,NYQ,4.73,12.79,LendingClub Corporation,True,1418308200000,2,LendingClub,LC,36.617645,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,15.452938,-0.24422924852594521,USD,0.40499973,1722437777,7.515,7.52,7.215 - 7.52,7.215,633113,7.11,0.0,0.0,32,29,us_market,finmb_24704,NYSE,"American Axle & Manufacturing Holdings, Inc.",USD,7.19,1238025,1150810,1.2249999,0.19475356,6.29 - 9.46,-1.9450002,-0.20560256,-24.119532,1230508800.0,1723206600,1723206600,1723206600,1723212000.0,1723212000.0,False,0.0,0.0,REGULAR,-0.08,0.57,5.6961985,0.32,23.484375,117553000,5.289,7.2256,0.2894001,0.040052053,7.41005,0.10494995,0.0141631905,883410752,13.184211,1.4208735,15,0,America/New_York,EDT,-14400000,False,False,False,2.9 - Hold,NYQ,6.29,9.46,American Axle & Manufacturing H,True,917620200000,2,American Axle & Manufacturing,AXL,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,-0.739324,-3.855918276207725,USD,0.038900018,1722437781,0.7389,0.778,0.6601 - 0.778,0.6601,6327449,0.7,0.7272,0.75,6,3,us_market,finmb_412674,NasdaqGS,"Sangamo Therapeutics, Inc.",USD,0.7,10411229,51507450,0.4489,1.5479311,0.29 - 1.48,-0.7411,-0.50074327,-43.548386,,1722974400,1722974400,1722974400,1722976200.0,1722976200.0,False,0.0,0.0,REGULAR,-1.88,-0.19,5.5571456,-0.54,-1.3683333,207510000,0.278,0.5096,0.22930002,0.4499608,0.564,0.1749,0.31010637,153329136,-3.8889475,2.6579137,15,0,America/New_York,EDT,-14400000,False,False,False,2.4 - Buy,NMS,0.29,1.48,"Sangamo Therapeutics, Inc.",True,955027800000,4,Sangamo Therapeutics,SGMO,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,-9.570832,2.7316761012510984,USD,0.4050002,1722437752,6.715,6.73,6.21 - 6.73,6.21,326073,6.31,6.68,6.74,8,1,us_market,finmb_13580387,NasdaqGS,Anavex Life Sciences Corp.,USD,6.22,1203830,1551180,3.4650002,1.0661539,3.25 - 10.45,-3.7349997,-0.35741624,-23.236012,,1715254200,1722947400,1723465800,1715257800.0,1715257800.0,True,0.0,0.0,REGULAR,-0.5,-0.63,6.4183874,-0.56,-11.991072,84641504,1.614,4.651,2.0640001,0.44377556,5.484525,1.230475,0.22435395,568367744,-10.6587305,4.160471,15,0,America/New_York,EDT,-14400000,False,False,False,2.0 - Buy,NMS,3.25,10.45,Anavex Life Sciences Corp.,True,1154525400000,2,Anavex Life Sciences,AVXL,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,10.335513,-1.148564059158635,USD,0.84500027,1722437746,11.715,11.85,10.75 - 11.85,10.75,384953,10.87,0.0,0.0,8,11,us_market,finmb_42757816,NYSE,"SunCoke Energy, Inc.",USD,10.75,555387,521710,3.6450005,0.45167294,8.07 - 11.85,-0.13500023,-0.011392424,10.692465,1717372800.0,1722429000,1722429000,1722429000,1722438000.0,1722438000.0,False,0.38,0.0349586,REGULAR,0.72,0.7,7.773692,0.86,13.622093,84075504,7.41,10.2158,1.4991999,0.14675306,10.2668,1.4482002,0.14105663,990381440,16.735714,1.5809717,15,0,America/New_York,EDT,-14400000,False,False,False,2.5 - Buy,NYQ,8.07,11.85,"SunCoke Energy, Inc.",True,1311255000000,2,SunCoke Energy,SXC,16.270832,0.4,3.68,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,-9.322165,-0.6046008699008569,USD,0.48999977,1722437691,9.67,9.7,9.25 - 9.7,9.25,17821,9.18,9.46,9.84,2,2,us_market,finmb_32261,NasdaqGS,Inseego Corp.,USD,9.34,248954,140970,8.07,5.04375,1.6 - 13.42,-3.75,-0.27943367,24.05405,,1723060800,1723060800,1723060800,1723064400.0,1723064400.0,False,0.0,0.0,REGULAR,-4.22,0.04,5.337688,-0.2,-48.35,12232700,-8.886,9.5228,0.14719963,0.015457599,4.5409,5.1291,1.1295336,118290208,241.75,-1.0882287,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,NMS,1.6,13.42,Inseego Corp.,True,974817000000,2,Inseego,INSG,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,102.910065,-0.006743602284699499,USD,0.4000001,1722437776,3.01,3.2499,2.8 - 3.2499,2.8,3925787,2.61,2.32,3.66,2,2,us_market,finmb_60414516,NasdaqGS,"2U, Inc.",USD,3.09,3032630,18366610,1.96,1.8666668,1.05 - 135.6,-132.59001,-0.9778024,-97.88321,,1714680071,1722974400,1723492800,1714681800.0,1714681800.0,True,0.0,0.0,REGULAR,-117.0,-0.49,15.325674,6.15,0.48943087,2805320,60.463,6.136,-3.1260002,-0.5094524,21.7345,-18.7245,-0.8615105,8573413,-6.142857,0.04978251,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,NMS,1.05,135.6,"2U, Inc.",True,1396013400000,4,2U,TWOU,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,12.880625,-4.189465179343842,USD,1.8099995,1722437750,21.35,22.8818,20.73 - 22.8818,20.73,416691,19.54,16.09,26.72,2,2,us_market,finmb_27508,NasdaqGS,"Pacira BioSciences, Inc.",USD,22.19,1126237,1141890,2.0100002,0.10392969,19.34 - 40.16,-18.81,-0.4683765,-46.771996,,1722369600,1730377800,1730723400,1722371400.0,1722371400.0,True,0.0,0.0,REGULAR,1.51,3.65,9.263046,2.64,8.087121,46546100,19.043,25.8428,-4.4927998,-0.17385112,28.57365,-7.22365,-0.2528081,1035210304,5.849315,1.1211469,15,0,America/New_York,EDT,-14400000,False,False,False,1.9 - Buy,NMS,19.34,40.16,"Pacira BioSciences, Inc.",True,1296743400000,2,Pacira BioSciences,PCRX,14.139073,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,-46.097149,-3.282130900161671,USD,2.5699997,1722437781,24.46,25.45,23.181 - 25.45,23.181,987043,21.89,0.0,0.0,18,9,us_market,finmb_116221003,NYSE,Fiverr International Ltd.,USD,23.22,856187,675710,5.629999,0.29899094,18.83 - 34.49,-10.030003,-0.290809,-23.327494,,1722429000,1722429000,1722429000,1722429000.0,1722429000.0,False,0.0,0.0,REGULAR,0.22,2.48,11.74052,2.28,10.72807,38702100,9.663,23.5904,0.8695984,0.036862385,23.93075,0.5292492,0.022115864,963951424,9.862903,2.5313048,15,0,America/New_York,EDT,-14400000,False,False,False,2.1 - Buy,NYQ,18.83,34.49,Fiverr International Ltd.,True,1560432600000,2,Fiverr,FVRR,111.181816,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,11.053543,-2.0209295034256307,USD,0.75,1722437774,11.83,11.94,11.43 - 11.94,11.43,117655,11.08,11.11,18.97,9,9,us_market,finmb_327378336,NYSE,"Accel Entertainment, Inc.",USD,11.75,283529,193170,2.46,0.26254004,9.37 - 12.05,-0.22000027,-0.018257283,-0.27002692,,1722370200,1722370200,1722370200,1722373200.0,1722373200.0,False,0.0,0.0,REGULAR,0.51,0.84,6.7689533,0.84,14.083334,82765104,2.52,10.137,1.6929998,0.16701192,10.49235,1.3376503,0.12748815,979111168,14.083334,4.6944447,15,0,America/New_York,EDT,-14400000,False,False,False,2.0 - Buy,NYQ,9.37,12.05,"Accel Entertainment, Inc.",True,1503581400000,2,Accel Entertainment,ACEL,23.19608,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,7.669701,1322.9403847724093,USD,1.2099991,1722437754,22.13,22.7,21.88 - 22.7,21.88,443429,20.92,0.0,0.0,10,18,us_market,finmb_139764409,NYSE,Ardmore Shipping Corporation,USD,22.09,748854,606460,10.349999,0.8786078,11.78 - 23.44,-1.3100014,-0.05588743,53.035843,1718323200.0,1722429000,1722429000,1722429000,1722434400.0,1722434400.0,False,0.87,0.041587,REGULAR,2.59,2.96,5.7839346,3.76,5.885638,41729200,13.674,21.6768,0.4531994,0.020907117,16.9986,5.131399,0.30187187,923467136,7.476351,1.6183999,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,NYQ,11.78,23.44,Ardmore Shipping Corporation,True,1375363800000,2,Ardmore Shipping,ASC,8.544401,1.24,5.93,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,-112.338564,-0.45620063557834767,USD,0.7144003,1722437745,12.5844,12.86,11.65 - 12.86,11.65,1011663,11.87,0.0,0.0,8,12,us_market,finmb_13627017,NYSE,Emergent BioSolutions Inc.,USD,12.05,5498388,2765580,11.1644,7.8622537,1.42 - 15.1,-2.5156002,-0.16659604,64.632454,,1722974400,1722974400,1722974400,1722978000.0,1722978000.0,False,0.0,0.0,REGULAR,-10.97,-1.15,6.03603,-1.22,-10.315082,52401800,12.67,7.9924,4.592,0.5745458,3.79775,8.78665,2.313646,820556992,-10.942957,0.9932439,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,NYQ,1.42,15.1,"Emergent Biosolutions, Inc.",True,1163601000000,2,Emergent BioSolutions,EBS,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,19.110992,,USD,0.80459976,1722437680,6.4546,6.5,6.05 - 6.5,6.05,181848,5.65,4.58,7.74,2,2,us_market,finmb_6296436,NasdaqGS,Materialise NV,EUR,6.05,61351,89670,1.7546,0.37331918,4.7 - 7.92,-1.4654002,-0.18502527,-26.432293,,1722429000,1722429000,1722429000,1722429000.0,1722429000.0,False,0.0,0.0,REGULAR,0.12,0.25,14.240704,0.19,33.97158,59067200,4.064,5.1782,1.2764001,0.24649495,5.53745,0.91715,0.16562678,381926432,25.8184,1.5882381,15,0,America/New_York,EDT,-14400000,False,False,False,1.5 - Strong Buy,NMS,4.7,7.92,Materialise NV,True,1403703000000,2,Materialise,MTLS,53.788334,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,18.215431,-0.8088760221233943,USD,3.8400002,1722437742,29.89,30.115,27.61 - 30.115,27.61,205743,26.05,29.82,35.62,1,2,us_market,finmb_318869,NasdaqGS,"Monro, Inc.",USD,27.83,714809,491460,8.889999,0.42333332,21.0 - 36.31,-6.420002,-0.17681085,-26.07832,1718668800.0,1722429000,1722429000,1722429000,1722429000.0,1722429000.0,False,1.12,0.042994242,REGULAR,1.18,1.05,14.740883,0.77,38.81818,29920900,21.956,24.118,5.7719994,0.2393233,28.1355,1.7544994,0.062358923,894335680,28.466667,1.3613591,15,0,America/New_York,EDT,-14400000,False,False,False,3.0 - Hold,NMS,21.0,36.31,"Monro, Inc.",True,680880600000,2,Monro,MNRO,25.33051,1.12,4.3,,,
